# qdac_multiple_set	qdac_ch01_curr_ucal	qdac_ch02_curr_ucal	qdac_ch03_curr_ucal	qdac_ch04_curr_ucal	qdac_ch05_curr_ucal	qdac_ch06_curr_ucal	qdac_ch07_curr_ucal	qdac_ch08_curr_ucal	qdac_ch09_curr_ucal	qdac_ch10_curr_ucal	qdac_ch11_curr_ucal	qdac_ch12_curr_ucal	qdac_ch13_curr_ucal	qdac_ch14_curr_ucal	qdac_ch15_curr_ucal	qdac_ch16_curr_ucal	qdac_ch17_curr_ucal	qdac_ch18_curr_ucal	qdac_ch19_curr_ucal	qdac_ch20_curr_ucal	qdac_ch21_curr_ucal	qdac_ch22_curr_ucal	qdac_ch23_curr_ucal	qdac_ch24_curr_ucal	timer
# "Voltage"	"ch1"	"ch2"	"ch3"	"ch4"	"ch5"	"ch6"	"ch7"	"ch8"	"ch9"	"ch10"	"ch11"	"ch12"	"ch13"	"ch14"	"ch15"	"ch16"	"ch17"	"ch18"	"ch19"	"ch20"	"ch21"	"ch22"	"ch23"	"ch24"	"Elapsed time"
# 1001
-10	-0.000668043	-0.000674592	0.000392732	4.71916e-05	-7.74918e-05	9.46113e-05	-0.000631192	-0.000412794	0.000471618	-0.000377927	-0.000358487	-0.000864686	-7.12399e-05	0.000228443	2.82318e-05	0.000106963	-8.22935e-05	9.75086e-05	-0.000819851	-0.000508946	-0.000291737	0.00071783	-2.72015e-06	0.000600645	1.05389119999018
-9.98	-0.000666124	-0.000672697	0.000391242	4.66514e-05	-7.81856e-05	9.41323e-05	-0.000629363	-0.000411009	0.000470033	-0.000376366	-0.000356668	-0.00086138	-6.98972e-05	0.000228088	2.80325e-05	0.000106166	-8.17011e-05	9.70109e-05	-0.000817512	-0.000508496	-0.000291202	0.000715269	-2.21651e-06	0.000598606	1.53365430003032
-9.96	-0.000664437	-0.000671183	0.000389862	4.70292e-05	-7.8098e-05	9.43904e-05	-0.000627619	-0.00040964	0.00046836	-0.000375213	-0.000353721	-0.000857931	-6.93055e-05	0.000228192	2.76789e-05	0.000105204	-8.15749e-05	9.6306e-05	-0.000815165	-0.000507079	-0.000290282	0.000712398	-2.02973e-06	0.000596404	1.99743619991932
-9.94	-0.000662479	-0.000669651	0.000388583	4.67403e-05	-7.84262e-05	9.41915e-05	-0.000626027	-0.00040796	0.000466853	-0.000373604	-0.000351476	-0.000854378	-6.85255e-05	0.000227631	2.71037e-05	0.000104745	-8.09689e-05	9.65211e-05	-0.000812748	-0.000506103	-0.00028964	0.000709331	-1.84514e-06	0.000593888	2.46158959995955
-9.92	-0.000660188	-0.000667961	0.00038746	4.65183e-05	-7.89258e-05	9.40788e-05	-0.000623955	-0.000406126	0.000465257	-0.00037266	-0.000349044	-0.00085121	-6.75162e-05	0.000228689	2.63537e-05	0.000104144	-8.04659e-05	9.56011e-05	-0.00081015	-0.000504531	-0.000288695	0.000706986	-1.17094e-06	0.000591959	2.94166999997105
-9.9	-0.000658209	-0.000666412	0.000385944	4.62272e-05	-7.91944e-05	9.37661e-05	-0.000621809	-0.00040466	0.000463277	-0.000371223	-0.000346578	-0.000847665	-6.72619e-05	0.00022814	2.65638e-05	0.000103472	-8.01917e-05	9.52694e-05	-0.000807737	-0.000503003	-0.00028807	0.000703931	-6.90454e-07	0.000589399	3.42169869993813
-9.88	-0.000656243	-0.000664873	0.000384622	4.61235e-05	-7.88559e-05	9.394e-05	-0.000620445	-0.000402576	0.000462001	-0.000369995	-0.000343936	-0.000844612	-6.64374e-05	0.000228274	2.65077e-05	0.000102919	-7.97922e-05	9.46436e-05	-0.000805494	-0.000501812	-0.00028709	0.000701155	-1.58003e-07	0.000587526	3.90163540001959
-9.86	-0.000654241	-0.000663272	0.000383361	4.61019e-05	-7.91701e-05	9.36452e-05	-0.000618863	-0.000401143	0.00046037	-0.000368356	-0.000341825	-0.000841407	-6.5748e-05	0.000227978	2.66283e-05	0.000102501	-7.93453e-05	9.4481e-05	-0.000803288	-0.000500865	-0.000286459	0.000698467	2.61073e-07	0.000585266	4.38171159999911
-9.84	-0.000651267	-0.00066168	0.000382194	4.60872e-05	-7.93055e-05	9.34995e-05	-0.000616781	-0.000399486	0.000458405	-0.00036724	-0.000339215	-0.000837977	-6.52205e-05	0.000228119	2.62786e-05	0.000101546	-7.90473e-05	9.41237e-05	-0.000800812	-0.000499508	-0.000285532	0.000695858	3.95267e-07	0.000582659	4.86140319996048
-9.82	-0.000649473	-0.000660354	0.000381011	4.57689e-05	-7.9751e-05	9.38306e-05	-0.000615528	-0.000398174	0.00045691	-0.000366167	-0.000336601	-0.000834701	-6.45498e-05	0.000227718	2.5686e-05	0.000100904	-7.85565e-05	9.39052e-05	-0.000798586	-0.000498898	-0.000284904	0.000693758	8.31533e-07	0.000580451	5.32549409999046
-9.8	-0.000647288	-0.000658824	0.000379649	4.56215e-05	-7.97944e-05	9.34652e-05	-0.000613442	-0.000396057	0.000455472	-0.000364764	-0.000334212	-0.000831808	-6.37449e-05	0.000227458	2.59855e-05	0.0001006	-7.8411e-05	9.33827e-05	-0.000796445	-0.000498125	-0.000283501	0.0006909	1.07786e-06	0.000578581	5.80568609992042
-9.78	-0.000645055	-0.000657073	0.000378565	4.53711e-05	-7.99866e-05	9.34987e-05	-0.000612049	-0.000394746	0.00045376	-0.000363681	-0.000331914	-0.000828228	-6.32579e-05	0.00022697	2.54789e-05	9.98082e-05	-7.77683e-05	9.31328e-05	-0.000793763	-0.000496966	-0.000282922	0.000688574	1.62998e-06	0.000576026	6.28531039995141
-9.76	-0.0006434	-0.00065539	0.000377261	4.50867e-05	-8.00221e-05	9.34301e-05	-0.000610142	-0.000393186	0.000451996	-0.000362386	-0.000329718	-0.000825005	-6.21798e-05	0.000226708	2.55218e-05	9.94715e-05	-7.74159e-05	9.26345e-05	-0.000791466	-0.000495617	-0.000282534	0.000685792	1.82984e-06	0.000573858	6.76535390003119
-9.74	-0.000641541	-0.000653966	0.000374972	4.48011e-05	-8.02157e-05	9.34741e-05	-0.000608742	-0.000391502	0.000450368	-0.000361202	-0.000327224	-0.000821783	-6.15638e-05	0.000226595	2.51174e-05	9.88028e-05	-7.70242e-05	9.24607e-05	-0.000789272	-0.000494453	-0.000281843	0.000683373	2.53265e-06	0.000571537	7.24516990000848
-9.72	-0.000639958	-0.000652584	0.000373784	4.4787e-05	-8.04735e-05	9.32841e-05	-0.000606548	-0.000390112	0.000448532	-0.000359754	-0.000325348	-0.000819974	-6.15479e-05	0.000226413	2.46921e-05	9.82632e-05	-7.66433e-05	9.20105e-05	-0.000786694	-0.000493365	-0.000281075	0.000680653	2.94671e-06	0.000569485	7.72541590000037
-9.7	-0.000637529	-0.000651005	0.000372668	4.47237e-05	-8.10016e-05	9.29924e-05	-0.000605163	-0.000388409	0.000447202	-0.000358681	-0.000322847	-0.000816551	-6.03454e-05	0.000227034	2.44799e-05	9.76223e-05	-7.66257e-05	9.1298e-05	-0.000784152	-0.00049218	-0.000280081	0.000677506	3.24465e-06	0.000567102	8.20531979994848
-9.68	-0.000635855	-0.000649438	0.00037137	4.44902e-05	-8.09331e-05	9.3042e-05	-0.000603391	-0.000387135	0.000446126	-0.00035768	-0.000320335	-0.000813603	-5.97745e-05	0.000226957	2.44977e-05	9.71861e-05	-7.61909e-05	9.11837e-05	-0.000781991	-0.000491269	-0.000279497	0.000675301	3.78096e-06	0.000564814	8.68521739996504
