# qdac_multiple_set	qdac_ch01_curr_ucal	qdac_ch02_curr_ucal	qdac_ch03_curr_ucal	qdac_ch04_curr_ucal	qdac_ch05_curr_ucal	qdac_ch06_curr_ucal	qdac_ch07_curr_ucal	qdac_ch08_curr_ucal	qdac_ch09_curr_ucal	qdac_ch10_curr_ucal	qdac_ch11_curr_ucal	qdac_ch12_curr_ucal	qdac_ch13_curr_ucal	qdac_ch14_curr_ucal	qdac_ch15_curr_ucal	qdac_ch16_curr_ucal	qdac_ch17_curr_ucal	qdac_ch18_curr_ucal	qdac_ch19_curr_ucal	qdac_ch20_curr_ucal	qdac_ch21_curr_ucal	qdac_ch22_curr_ucal	qdac_ch23_curr_ucal	qdac_ch24_curr_ucal	timer
# "Voltage"	"ch1"	"ch2"	"ch3"	"ch4"	"ch5"	"ch6"	"ch7"	"ch8"	"ch9"	"ch10"	"ch11"	"ch12"	"ch13"	"ch14"	"ch15"	"ch16"	"ch17"	"ch18"	"ch19"	"ch20"	"ch21"	"ch22"	"ch23"	"ch24"	"Elapsed time"
# 1001
-10	-7.53799e-09	-7.6227e-09	3.93928e-09	1.5544e-10	-1.07347e-09	7.23406e-10	-7.13982e-09	-4.76337e-09	4.51304e-09	-4.40512e-09	-4.2388e-09	-9.92818e-09	-1.07042e-09	2.05435e-09	1.81363e-11	8.15961e-10	-1.16005e-09	7.19956e-10	-9.24284e-09	-5.79152e-09	-3.45061e-09	7.05604e-09	-3.03125e-10	5.94005e-09	1.00068739999551
-9.98	-7.51028e-09	-7.59985e-09	3.92306e-09	1.53415e-10	-1.09007e-09	7.24433e-10	-7.11447e-09	-4.74063e-09	4.49917e-09	-4.39471e-09	-4.21147e-09	-9.8834e-09	-1.05744e-09	2.05435e-09	2.24629e-11	8.11836e-10	-1.14993e-09	7.17721e-10	-9.21111e-09	-5.78012e-09	-3.44034e-09	7.01986e-09	-3.04011e-10	5.92265e-09	1.48080440005288
-9.96	-7.49306e-09	-7.57633e-09	3.91076e-09	1.54851e-10	-1.08865e-09	7.23089e-10	-7.1027e-09	-4.72111e-09	4.48502e-09	-4.37706e-09	-4.18092e-09	-9.84962e-09	-1.04032e-09	2.05078e-09	8.19634e-12	8.0583e-10	-1.15138e-09	7.11951e-10	-9.17674e-09	-5.75618e-09	-3.43478e-09	7.00284e-09	-3.02102e-10	5.90042e-09	1.96055650000926
-9.94	-7.4659e-09	-7.56765e-09	3.89415e-09	1.48337e-10	-1.08492e-09	7.17932e-10	-7.07508e-09	-4.70281e-09	4.46019e-09	-4.36305e-09	-4.15514e-09	-9.81534e-09	-1.04126e-09	2.04774e-09	5.22867e-12	8.00203e-10	-1.14471e-09	7.12925e-10	-9.15396e-09	-5.7515e-09	-3.42515e-09	6.96104e-09	-2.90065e-10	5.86824e-09	2.44064540008549
-9.92	-7.44373e-09	-7.54987e-09	3.88679e-09	1.46631e-10	-1.09309e-09	7.16201e-10	-7.04597e-09	-4.68151e-09	4.44551e-09	-4.35004e-09	-4.12743e-09	-9.77378e-09	-1.03477e-09	2.04693e-09	1.01994e-11	7.98461e-10	-1.14054e-09	7.13413e-10	-9.13134e-09	-5.73125e-09	-3.41783e-09	6.94481e-09	-2.83652e-10	5.85502e-09	2.92068520002067
-9.9	-7.42789e-09	-7.53251e-09	3.87308e-09	1.5011e-10	-1.0879e-09	7.22318e-10	-7.02737e-09	-4.66696e-09	4.43679e-09	-4.34127e-09	-4.09876e-09	-9.73677e-09	-1.02727e-09	2.05165e-09	6.5106e-12	7.88727e-10	-1.13844e-09	7.05786e-10	-9.10345e-09	-5.71886e-09	-3.40608e-09	6.93096e-09	-2.78162e-10	5.82947e-09	3.40057960001286
-9.88	-7.40283e-09	-7.50973e-09	3.85589e-09	1.49233e-10	-1.08065e-09	7.22223e-10	-7.00957e-09	-4.65037e-09	4.41963e-09	-4.32667e-09	-4.07822e-09	-9.70002e-09	-1.02019e-09	2.04423e-09	4.47035e-12	7.85155e-10	-1.13199e-09	7.03714e-10	-9.07389e-09	-5.70809e-09	-3.39701e-09	6.89289e-09	-2.72968e-10	5.80603e-09	3.88050580001436
-9.86	-7.37867e-09	-7.49303e-09	3.83926e-09	1.43268e-10	-1.08515e-09	7.24619e-10	-6.98958e-09	-4.62726e-09	4.39492e-09	-4.30655e-09	-4.05696e-09	-9.66513e-09	-1.00939e-09	2.04215e-09	3.46881e-12	7.77659e-10	-1.13046e-09	7.00183e-10	-9.04465e-09	-5.69437e-09	-3.39297e-09	6.86738e-09	-2.68433e-10	5.77728e-09	4.36050050007179
-9.84	-7.35953e-09	-7.47587e-09	3.82734e-09	1.42955e-10	-1.08754e-09	7.22244e-10	-6.97422e-09	-4.61036e-09	4.38052e-09	-4.2918e-09	-4.02623e-09	-9.62835e-09	-1.0053e-09	2.04325e-09	-7.83924e-13	7.74117e-10	-1.12224e-09	6.96227e-10	-9.01719e-09	-5.68465e-09	-3.389e-09	6.83672e-09	-2.61864e-10	5.75903e-09	4.84041870001238
-9.82	-7.34032e-09	-7.45827e-09	3.81389e-09	1.45683e-10	-1.08705e-09	7.23144e-10	-6.95242e-09	-4.59294e-09	4.36666e-09	-4.27738e-09	-3.99255e-09	-9.59231e-09	-9.95412e-10	2.04419e-09	-2.39463e-12	7.68745e-10	-1.11511e-09	6.94485e-10	-8.99147e-09	-5.66883e-09	-3.37527e-09	6.80609e-09	-2.58029e-10	5.73757e-09	5.32039320003241
