# qdac_multiple_set	qdac_ch19_curr_ucal	qdac_ch22_curr_ucal	timer
# "Voltage"	"ch19"	"ch22"	"Elapsed time"
# 1001
-10	-9.40036e-09	6.85432e-09	0.143602399853989
-9.98	-9.37393e-09	6.83222e-09	0.255667499965057
-9.96	-9.34475e-09	6.79867e-09	0.367623999947682
-9.94	-9.31888e-09	6.77496e-09	0.479729499900714
-9.92	-9.29709e-09	6.74569e-09	0.591792299877852
-9.9	-9.26676e-09	6.71352e-09	0.703613399993628
-9.88	-9.24442e-09	6.68916e-09	0.815640799934044
-9.86	-9.21484e-09	6.66768e-09	0.927572899963707
-9.84	-9.18639e-09	6.64074e-09	1.03948689997196
-9.82	-9.16278e-09	6.61358e-09	1.15155999991111
-9.8	-9.1493e-09	6.5829e-09	1.26351509988308
-9.78	-9.11078e-09	6.55854e-09	1.37577420007437
-9.76	-9.08505e-09	6.53124e-09	1.48754039988853
-9.74	-9.05671e-09	6.51006e-09	1.59960979991592
-9.72	-9.02987e-09	6.4774e-09	1.7117401000578
-9.7	-9.00447e-09	6.45539e-09	1.82364979991689
-9.68	-8.975e-09	6.42525e-09	1.93561120005324
-9.66	-8.95509e-09	6.40503e-09	2.04751489986666
-9.64	-8.92477e-09	6.37802e-09	2.15959779988043
-9.62	-8.90542e-09	6.34739e-09	2.27154730004258
-9.6	-8.87902e-09	6.31558e-09	2.38345890003256
-9.58	-8.85602e-09	6.28965e-09	2.49562369985506
-9.56	-8.82623e-09	6.26474e-09	2.60751749994233
-9.54	-8.80568e-09	6.24212e-09	2.71941819996573
-9.52	-8.77281e-09	6.21527e-09	2.831434099935
-9.5	-8.75168e-09	6.19521e-09	2.94354879995808
-9.48	-8.73207e-09	6.1697e-09	3.05545999994501
-9.46	-8.7037e-09	6.15278e-09	3.1673975000158
-9.44	-8.6789e-09	6.12256e-09	3.27951549994759
-9.42	-8.65005e-09	6.08942e-09	3.39152819989249
-9.4	-8.63423e-09	6.06512e-09	3.50339329987764
-9.38	-8.60039e-09	6.04597e-09	3.61544359987602
-9.36	-8.57869e-09	6.02327e-09	3.72727699996904
-9.34	-8.55351e-09	5.99406e-09	3.83939259988256
-9.32	-8.52277e-09	5.97106e-09	3.95133899990469
-9.3	-8.50521e-09	5.95448e-09	4.06334259989671
-9.28	-8.47959e-09	5.92269e-09	4.17540899990126
-9.26	-8.45557e-09	5.89618e-09	4.28738899994642
-9.24	-8.42623e-09	5.8684e-09	4.39931820007041
-9.22	-8.40408e-09	5.85385e-09	4.51147009991109
-9.2	-8.38268e-09	5.83005e-09	4.62329689995386
-9.18	-8.35536e-09	5.80489e-09	4.73536910000257
-9.16	-8.33237e-09	5.79133e-09	4.84754640003666
-9.14	-8.31726e-09	5.761e-09	4.95934419985861
-9.12	-8.28731e-09	5.73315e-09	5.07136809988879
-9.1	-8.26651e-09	5.71404e-09	5.18337449990213
-9.08	-8.23807e-09	5.69095e-09	5.29532749997452
-9.06	-8.22073e-09	5.66513e-09	5.4072809999343
-9.04	-8.19432e-09	5.64553e-09	5.51927360007539
-9.02	-8.17272e-09	5.61973e-09	5.63118469994515
-9	-8.15246e-09	5.59394e-09	5.74319679988548
-8.98	-8.11988e-09	5.56962e-09	5.8553130000364
-8.96	-8.10179e-09	5.55275e-09	5.96724519995041
-8.94	-8.07844e-09	5.52466e-09	6.07924850005656
-8.92	-8.05966e-09	5.49793e-09	6.1913135999348
-8.9	-8.04122e-09	5.4821e-09	6.30322879995219
-8.88	-8.0187e-09	5.46213e-09	6.41517150006257
-8.86	-7.9888e-09	5.43597e-09	6.52728709997609
-8.84	-7.96683e-09	5.41474e-09	6.63909820001572
-8.82	-7.94846e-09	5.38942e-09	6.75115079991519
-8.8	-7.92834e-09	5.37158e-09	6.86318270000629
-8.78	-7.89997e-09	5.35032e-09	6.97514549992047
-8.76	-7.87851e-09	5.31977e-09	7.08713670005091
-8.74	-7.85845e-09	5.3004e-09	7.19907189998776
-8.72	-7.8394e-09	5.27887e-09	7.31127050006762
-8.7	-7.81522e-09	5.25756e-09	7.42315479996614
-8.68	-7.79416e-09	5.23571e-09	7.53519829991274
-8.66	-7.77332e-09	5.21533e-09	7.64706499991007
-8.64	-7.75155e-09	5.18752e-09	7.75912759988569
-8.62	-7.73399e-09	5.16856e-09	7.87107279989868
-8.6	-7.71077e-09	5.1521e-09	7.98320530005731
-8.58	-7.68568e-09	5.12919e-09	8.09500480000861
-8.56	-7.66888e-09	5.10355e-09	8.20697449985892
-8.54	-7.64273e-09	5.0803e-09	8.31904869992286
-8.52	-7.62639e-09	5.06052e-09	8.43104230007157
-8.5	-7.61155e-09	5.04402e-09	8.54306189995259
-8.48	-7.58006e-09	5.03058e-09	8.65516559989192
-8.46	-7.5623e-09	5.00384e-09	8.7671705998946
-8.44	-7.53979e-09	4.97802e-09	8.87898380006664
-8.42	-7.52074e-09	4.95709e-09	8.99143729987554
-8.4	-7.50429e-09	4.92607e-09	9.10298329987563
-8.38	-7.47483e-09	4.91419e-09	9.21498559997417
-8.36	-7.45772e-09	4.89293e-09	9.32690380001441
-8.34	-7.43801e-09	4.86633e-09	9.43906820006669
-8.32	-7.42017e-09	4.84807e-09	9.55110120004974
-8.3	-7.39394e-09	4.83432e-09	9.6629329000134
-8.28	-7.37395e-09	4.81475e-09	9.77501889993437
-8.26	-7.35321e-09	4.79096e-09	9.88695760001428
-8.24	-7.33346e-09	4.77009e-09	9.99903690000065
-8.22	-7.31801e-09	4.75094e-09	10.1110622000415
-8.2	-7.29745e-09	4.72794e-09	10.2228941000067
-8.18	-7.27562e-09	4.70858e-09	10.3349446000066
-8.16	-7.25217e-09	4.68931e-09	10.4469306999817
-8.14	-7.23936e-09	4.67214e-09	10.5588368000463
-8.12	-7.21855e-09	4.65339e-09	10.6707758000121
-8.1	-7.19514e-09	4.62951e-09	10.7828279000241
-8.08	-7.17776e-09	4.60768e-09	10.8949591000564
-8.06	-7.16278e-09	4.58584e-09	11.0068896000739
-8.04	-7.13482e-09	4.56617e-09	11.1188199999742
-8.02	-7.11309e-09	4.5523e-09	11.2307774000801
-8	-7.09899e-09	4.5272e-09	11.3427363999654
-7.98	-7.07635e-09	4.5134e-09	11.4547730998602
-7.96	-7.0555e-09	4.49895e-09	11.5667810998857
-7.94	-7.03366e-09	4.47722e-09	11.6787765999325
-7.92	-7.0156e-09	4.45477e-09	11.7907346000429
-7.9	-7.00174e-09	4.43861e-09	11.9028014999349
-7.88	-6.98062e-09	4.41931e-09	12.014810099965
-7.86	-6.962e-09	4.39204e-09	12.1268436000682
-7.84	-6.94234e-09	4.37668e-09	12.2388750999235
-7.82	-6.92153e-09	4.35794e-09	12.3508119999897
-7.8	-6.90537e-09	4.33667e-09	12.4627469000407
-7.78	-6.88958e-09	4.31812e-09	12.5746247000061
-7.76	-6.86802e-09	4.30053e-09	12.6866277998779
-7.74	-6.84412e-09	4.27851e-09	12.7987166999374
-7.72	-6.82806e-09	4.26069e-09	12.9106238000095
-7.7	-6.8077e-09	4.23834e-09	13.0226550998632
-7.68	-6.79336e-09	4.2252e-09	13.134603299899
-7.66	-6.76968e-09	4.20364e-09	13.2468435000628
-7.64	-6.75065e-09	4.18938e-09	13.3587288998533
-7.62	-6.73795e-09	4.16928e-09	13.4706445999909
-7.6	-6.71513e-09	4.15635e-09	13.5827307000291
-7.58	-6.70195e-09	4.13708e-09	13.6947260000743
-7.56	-6.68531e-09	4.11985e-09	13.8065939999651
-7.54	-6.66199e-09	4.09733e-09	13.9187209999654
-7.52	-6.64761e-09	4.07943e-09	14.030730899889
-7.5	-6.62502e-09	4.06469e-09	14.1427773998585
-7.48	-6.61248e-09	4.04221e-09	14.2546021000016
-7.46	-6.58769e-09	4.03153e-09	14.3667001998983
-7.44	-6.57467e-09	4.00681e-09	14.478511299938
-7.42	-6.55054e-09	3.98738e-09	14.5905263000168
-7.4	-6.53525e-09	3.96903e-09	14.7026487998664
-7.38	-6.51982e-09	3.9511e-09	14.8146716000047
-7.36	-6.5031e-09	3.93155e-09	14.9265550998971
-7.34	-6.48556e-09	3.91715e-09	15.0385127000045
-7.32	-6.46315e-09	3.89385e-09	15.1504412000068
-7.3	-6.44498e-09	3.87934e-09	15.2624059999362
-7.28	-6.42428e-09	3.86e-09	15.374487800058
-7.26	-6.4149e-09	3.84508e-09	15.4864560000133
-7.24	-6.39438e-09	3.82561e-09	15.5984094999731
-7.22	-6.37892e-09	3.80966e-09	15.71055050008
-7.2	-6.36026e-09	3.78872e-09	15.8224708000198
-7.18	-6.34511e-09	3.77238e-09	15.9344415999949
-7.16	-6.32658e-09	3.75125e-09	16.0464335998986
-7.14	-6.30685e-09	3.73382e-09	16.158467900008
-7.12	-6.28885e-09	3.71415e-09	16.2704533999786
-7.1	-6.27003e-09	3.70012e-09	16.3824106000829
-7.08	-6.25053e-09	3.68608e-09	16.4943999999668
-7.06	-6.23397e-09	3.66851e-09	16.6064082998782
-7.04	-6.2224e-09	3.6519e-09	16.7184132998809
-7.02	-6.20462e-09	3.62925e-09	16.8303540998604
-7	-6.18678e-09	3.61094e-09	16.9424844000023
-6.98	-6.16903e-09	3.60026e-09	17.0544771000277
-6.96	-6.15676e-09	3.58371e-09	17.1662914999761
-6.94	-6.13489e-09	3.5606e-09	17.2783210999332
-6.92	-6.1186e-09	3.54995e-09	17.3905436000787
-6.9	-6.09914e-09	3.53158e-09	17.5022946998943
-6.88	-6.08502e-09	3.50846e-09	17.6143662999384
-6.86	-6.06529e-09	3.49454e-09	17.7263402999379
-6.84	-6.0516e-09	3.48161e-09	17.8383249999024
-6.82	-6.03146e-09	3.46304e-09	17.9504905999638
-6.8	-6.00816e-09	3.4524e-09	18.0622737999074
-6.78	-5.99234e-09	3.43381e-09	18.1742177000269
-6.76	-5.98632e-09	3.41441e-09	18.2863711998798
-6.74	-5.96224e-09	3.40021e-09	18.3982388998847
-6.72	-5.95348e-09	3.37826e-09	18.5103622998577
-6.7	-5.93613e-09	3.36364e-09	18.6223420999013
-6.68	-5.91445e-09	3.34796e-09	18.7342496998608
-6.66	-5.89914e-09	3.33337e-09	18.8461948998738
-6.64	-5.88208e-09	3.31793e-09	18.958217300009
-6.62	-5.86765e-09	3.30193e-09	19.0701838999521
-6.6	-5.85136e-09	3.27566e-09	19.182170300046
-6.58	-5.83303e-09	3.26509e-09	19.2942689000629
-6.56	-5.81648e-09	3.24217e-09	19.406181700062
